Project_ID,Project_counties,Is_TIA_project,Project_description,Last_refresh,Project_URL
0008477,Cherokee,No,Canton East-West Conn From SR 108 To SR 5,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008477
0008517,"Clayton , Fayette",No,East Fayetteville Bypass From SR 54 To SR 85 - Phase II,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008517
0007849,Gwinnett,No,SR 20 From SR 324/Gravel Springs Road To I-85,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007849
0007850,Gwinnett,No,SR 20 From I-85 To CR 104/Rock Springs Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007850
0007852,Gwinnett,No,SR 10/US 78 From SR 124/Scenic Hwy To E Of SR 84/Grayston Pkwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007852
0007853,Gwinnett,No,SR 10/US 78 From SR 84/Scenic Hwy To Walton County Line,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007853
0007854,"Henry , Newton",No,SR 20 From Mcdonough Bypass/Henry To SR 212/Newton,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007854
0007855,Henry,No,SR 42 From Downtown Mcdonough To SR 138,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007855
0007856,Henry,No,SR 155 From I-75 To SR 42/US 23,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007856
0007857,Henry,No,SR 155 From CR 136/ Campground Road To CR 107/Kelleytown Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007857
0007864,"Carroll , Douglas , Paulding",No,SR 61 From Punkintown RD/Carroll To Dallas Nebo RD/Paulding,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007864
0007867,Rockdale,No,SR 138 From CR 8/Fairview Road To CR 434/Ebenezer Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007867
0007869,Rockdale,No,SR 20 From CR 435/Sigman Road To CR 440/Pleasant Hill Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007869
0007881,"Butts , Henry , Spalding",No,I-75 From SR 16 To CR 636/Bill Gardner Pkwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007881
0008336,Henry,No,SR 155 From SR 42/US 23 To CR 376/Racetrack Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008336
0008337,Henry,No,CR 376/Racetrack Road From SR 155 To SR 81,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008337
0008338,Henry,No,SR 81 From CR 371/Bethany Road To CR 440/North Ola Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008338
0008704,Fayette,No,Eastern Fayette County Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008704
0008705,Fayette,No,Western Fayette County Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008705
0008706,Henry,No,Atlanta Motor Speedway Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008706
0008708,Douglas,No,Six Flags Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008708
0008709,Cobb,No,Western Cobb County Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008709
0008710,Cobb,No,Bells Ferry Road County Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008710
0008714,Gwinnett,No,Discover Mills Park & Ride - GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008714
0007891,Henry,No,I-75 From CS 636/Bill Gardner Pkwy To SR 920/Jonesboro Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007891
0007892,"Bartow , Cherokee , Cobb",No,I-75 From SR 5 Conn To CR 633/Glade Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007892
0007952,Fulton,No,SR 154/Memorial Drive Corridor Improvements,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007952
0009315,DeKalb,No,Arabia Mountain Multi-Use Trl From Nature Ctr To Turner Hill-Phase II,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009315
0007680,DeKalb,No,SR 12/US 278 From CR 782/Margarette Dr To CR 7938/Panola RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007680
0007681,DeKalb,No,SR 12/US 278 From CR 7938/Panola RD To CR 6305/Evans Mill RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007681
0009378,DeKalb,No,SR 8 From SR 42 To W Of N Ponce & From Westchester To N Decatur,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009378
0009395,Fulton,No,Belt Line Corridor From Lindbergh Center To I-85,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009395
0008440,Clayton,No,Jonesboro Downtown Ped Streetscape - Phase II,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008440
0008441,Clayton,No,Jonesboro Downtown Ped Streetscape - Phase III,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008441
0008444,"Forsyth , Fulton",No,SR 400 From Spalding Drive To Mcfarland Pkwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008444
0009398,Fulton,No,Belt Line Corridor From Dellwood Drive To Garson Drive,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009398
0009643,Fulton,No,Chattahoochee Hills Regional Greenway Trail - Fulton,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009643
0007836,"Bartow , Cherokee",No,SR 20 From I-75/Bartow To I-575/Cherokee,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007836
0007837,"Coweta , Fayette",No,CR 358/CR 548/Palmetto RD/Collinsworth RD From I-85 To SR 74,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007837
0007838,Fulton,No,SR 9 - Widening & Reconstruct,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007838
0010176,DeKalb,No,Glenwood RD From CR 5197/Columbia Dr To SR 12; Exc I-285 Intch,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0010176
